,beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
22759,2.0,2.0,,sqft,2.02,acre,98115.0,468000.0
22764,2.0,2.0,,sqft,2.02,acre,98115.0,468000.0
22627,1.0,1.0,650.0,sqft,,,98121.0,468000.0
22649,2.0,2.0,,sqft,2.02,acre,98115.0,468000.0
22954,1.0,1.0,650.0,sqft,,,98121.0,468000.0
23358,,,1415.0,sqft,,,98125.0,469000.0
23143,,,1415.0,sqft,,,98125.0,469000.0
23051,1.0,1.0,,sqft,,,98103.0,469000.0
23154,1.0,1.0,,sqft,,,98103.0,469000.0
23034,,,1415.0,sqft,,,98125.0,469000.0
23099,1.0,1.0,,sqft,,,98103.0,469000.0
23301,1.0,1.0,,sqft,,,98103.0,469000.0
23204,1.0,1.0,,sqft,,,98103.0,469000.0
1274,1.0,1.0,,sqft,,,98103.0,469000.0
23445,1.0,1.0,,sqft,,,98103.0,469000.0
23882,1.0,1.0,,sqft,,,98109.0,470000.0
338,1.0,,681.0,sqft,,,98105.0,470000.0
23546,2.0,2.0,1131.0,sqft,0.43,acre,98103.0,470000.0
23603,1.0,,681.0,sqft,,,98105.0,470000.0
23516,1.0,,681.0,sqft,,,98105.0,470000.0
23797,,,656.0,sqft,,,98109.0,470000.0
23763,,,656.0,sqft,,,98109.0,470000.0
23519,1.0,,681.0,sqft,,,98105.0,470000.0
23682,1.0,,681.0,sqft,,,98105.0,470000.0
23780,2.0,2.0,1131.0,sqft,0.43,acre,98103.0,470000.0
24088,2.0,2.5,1088.0,sqft,0.77,acre,98133.0,475000.0
24140,2.0,2.5,2282.0,sqft,2.75,acre,,475000.0
24259,2.0,,976.0,sqft,2064.0,sqft,98106.0,475000.0
24060,2.0,2.5,2282.0,sqft,2.75,acre,,475000.0
24356,2.0,,976.0,sqft,2064.0,sqft,98106.0,475000.0
24205,2.0,2.0,789.0,sqft,,,98107.0,475000.0
502,3.0,1.0,1410.0,sqft,7080.0,sqft,98118.0,475000.0
24241,2.0,,1088.0,sqft,,,98133.0,475000.0
23996,1.0,1.0,580.0,sqft,,,98122.0,475000.0
24106,1.0,1.0,627.0,sqft,,,,475000.0
24496,2.0,1.0,860.0,sqft,4000.0,sqft,,480000.0
24449,1.0,1.0,617.0,sqft,0.49,acre,98109.0,480000.0
24799,2.0,,693.0,sqft,,,98119.0,480000.0
1253,2.0,1.0,860.0,sqft,4000.0,sqft,,480000.0
24580,2.0,2.0,,sqft,,,98103.0,480000.0
24455,2.0,1.0,860.0,sqft,4000.0,sqft,,480000.0
24772,1.0,1.0,831.0,sqft,0.7,acre,98136.0,480000.0
43,1.0,1.0,617.0,sqft,0.49,acre,98109.0,480000.0
24827,2.0,,693.0,sqft,,,98119.0,480000.0
24707,1.0,1.0,812.0,sqft,,,98107.0,480000.0
25080,2.0,1.0,,sqft,5011.0,sqft,98107.0,485000.0
25208,,1.0,672.0,sqft,,,98107.0,485000.0
25225,4.0,2.5,1354.0,sqft,,,98118.0,485000.0
25105,4.0,2.5,1354.0,sqft,,,98118.0,485000.0
24859,2.0,1.0,,sqft,5011.0,sqft,98107.0,485000.0
25163,1.0,,980.0,sqft,3700.0,sqft,98106.0,485000.0
25258,2.0,1.0,,sqft,5011.0,sqft,98107.0,485000.0
24959,2.0,1.0,,sqft,5011.0,sqft,98107.0,485000.0
25265,1.0,1.0,615.0,sqft,,,98102.0,485000.0
24916,1.0,1.0,615.0,sqft,,,98102.0,485000.0
25769,2.0,1.0,,sqft,4000.0,sqft,98108.0,489000.0
25382,2.0,1.0,749.0,sqft,,,98103.0,489000.0
25765,2.0,1.0,,sqft,4000.0,sqft,98108.0,489000.0
25390,2.0,1.0,,sqft,4000.0,sqft,98108.0,489000.0
25717,1.0,1.0,531.0,sqft,,,98121.0,489000.0
25393,2.0,1.0,,sqft,4000.0,sqft,98108.0,489000.0
25316,2.0,1.0,749.0,sqft,,,98103.0,489000.0
25384,3.0,,1880.0,sqft,6194.0,sqft,98118.0,489000.0
25605,2.0,1.0,749.0,sqft,,,98103.0,489000.0
25518,2.0,1.0,,sqft,4000.0,sqft,98108.0,489000.0
25932,2.0,,693.0,sqft,,,98119.0,490000.0
25817,1.0,,738.0,sqft,,,98101.0,490000.0
26200,1.0,,705.0,sqft,,,98103.0,490000.0
26236,1.0,,,sqft,,,98102.0,490000.0
26149,1.0,,738.0,sqft,,,98101.0,490000.0
25979,2.0,,693.0,sqft,,,98119.0,490000.0
25879,1.0,,,sqft,,,98102.0,490000.0
25813,1.0,,705.0,sqft,,,98103.0,490000.0
25929,2.0,1.0,,sqft,5100.0,sqft,98118.0,490000.0
26169,1.0,,,sqft,,,98102.0,490000.0
26465,2.0,1.5,1024.0,sqft,,,98115.0,495000.0
26405,2.0,,840.0,sqft,8150.0,sqft,98118.0,495000.0
26703,1.0,1.0,635.0,sqft,,,98102.0,495000.0
26520,1.0,1.0,635.0,sqft,,,98102.0,495000.0
26347,2.0,1.5,1024.0,sqft,,,98115.0,495000.0
26298,1.0,1.0,635.0,sqft,,,98102.0,495000.0
26547,1.0,1.0,635.0,sqft,,,98102.0,495000.0
26532,2.0,1.5,1024.0,sqft,,,98115.0,495000.0
26550,2.0,,840.0,sqft,8150.0,sqft,98118.0,495000.0
26330,1.0,1.0,635.0,sqft,,,98102.0,495000.0
27074,1.0,,,sqft,0.26,acre,98122.0,499000.0
26854,2.0,,1019.0,sqft,,,98119.0,499000.0
27152,2.0,,1019.0,sqft,,,98119.0,499000.0
27171,2.0,,1019.0,sqft,,,98119.0,499000.0
27164,2.0,,1019.0,sqft,,,98119.0,499000.0
27094,1.0,,,sqft,0.26,acre,98122.0,499000.0
26929,2.0,,1019.0,sqft,,,98119.0,499000.0
26963,2.0,,1019.0,sqft,,,98119.0,499000.0
27159,2.0,,1019.0,sqft,,,98119.0,499000.0
27165,2.0,,1019.0,sqft,,,98119.0,499000.0
27362,2.0,2.0,1015.0,sqft,2.02,acre,98115.0,500000.0
27453,3.0,1.0,1200.0,sqft,9180.0,sqft,98168.0,500000.0
27324,3.0,,940.0,sqft,4850.0,sqft,98136.0,500000.0
27608,2.0,2.0,1015.0,sqft,2.02,acre,98115.0,500000.0
27516,2.0,1.5,805.0,sqft,5000.0,sqft,98107.0,500000.0
27595,3.0,1.0,1200.0,sqft,9180.0,sqft,98168.0,500000.0
27341,3.0,,940.0,sqft,4850.0,sqft,98136.0,500000.0
27277,2.0,1.0,858.0,sqft,,,,500000.0
27457,2.0,1.0,858.0,sqft,,,,500000.0
27378,3.0,1.0,980.0,sqft,3000.0,sqft,98103.0,500000.0
27894,2.0,,1328.0,sqft,,,98104.0,510000.0
28020,2.0,1.0,670.0,sqft,6300.0,sqft,98126.0,510000.0
27648,2.0,1.5,806.0,sqft,4001.0,sqft,98106.0,510000.0
27847,2.0,1.5,806.0,sqft,4001.0,sqft,98106.0,510000.0
27916,3.0,,,sqft,7800.0,sqft,98168.0,510000.0
27759,2.0,2.5,,sqft,,,98146.0,510000.0
27841,2.0,1.0,670.0,sqft,6300.0,sqft,98126.0,510000.0
28037,2.0,1.0,670.0,sqft,6300.0,sqft,98126.0,510000.0
27956,2.0,,1328.0,sqft,,,98104.0,510000.0
27787,2.0,2.5,,sqft,,,98146.0,510000.0
28380,3.0,1.0,970.0,sqft,0.28,acre,98146.0,515000.0
28520,3.0,1.0,970.0,sqft,0.28,acre,98146.0,515000.0
28427,2.0,,960.0,sqft,8057.0,sqft,98199.0,515000.0
28172,2.0,2.0,1138.0,sqft,,,98126.0,515000.0
28386,2.0,2.0,1138.0,sqft,,,98126.0,515000.0
28243,3.0,1.0,1070.0,sqft,6535.0,sqft,98168.0,515000.0
28491,2.0,2.0,1138.0,sqft,,,98126.0,515000.0
28501,,,,sqft,,,,515000.0
28392,2.0,,960.0,sqft,8057.0,sqft,98199.0,515000.0
28469,,1.0,,sqft,1.09,acre,98116.0,515000.0
28878,3.0,1.0,4018.0,sqft,5000.0,sqft,,517500.0
28981,4.0,,,sqft,7840.0,sqft,98178.0,517500.0
28797,4.0,,,sqft,7840.0,sqft,98178.0,517500.0
28961,3.0,1.0,4018.0,sqft,5000.0,sqft,,517500.0
28905,3.0,1.0,4018.0,sqft,5000.0,sqft,,517500.0
28891,3.0,1.0,4018.0,sqft,5000.0,sqft,,517500.0
28985,3.0,1.0,4018.0,sqft,5000.0,sqft,,517500.0
28948,3.0,1.0,4018.0,sqft,5000.0,sqft,,517500.0
28860,3.0,1.0,4018.0,sqft,5000.0,sqft,,517500.0
28590,3.0,1.0,4018.0,sqft,5000.0,sqft,,517500.0
29470,1.0,1.0,,sqft,0.46,acre,98116.0,520000.0
29210,5.0,2.5,2870.0,sqft,8741.0,sqft,98168.0,520000.0
29335,4.0,3.0,,sqft,9500.0,sqft,98146.0,520000.0
29294,2.0,,792.0,sqft,,,98102.0,520000.0
29459,4.0,,1940.0,sqft,8778.0,sqft,,520000.0
29254,5.0,2.5,2870.0,sqft,8741.0,sqft,98168.0,520000.0
29044,4.0,3.0,,sqft,9500.0,sqft,98146.0,520000.0
29312,1.0,1.0,,sqft,0.46,acre,98116.0,520000.0
29278,4.0,3.0,,sqft,9500.0,sqft,98146.0,520000.0
29463,4.0,3.0,,sqft,9500.0,sqft,98146.0,520000.0
29539,2.0,,1320.0,sqft,,,98125.0,525000.0
29650,2.0,2.5,,sqft,1293.0,sqft,98126.0,525000.0
29744,2.0,1.0,2060.0,sqft,6000.0,sqft,98106.0,525000.0
29619,2.0,1.0,720.0,sqft,4240.0,sqft,98106.0,525000.0
29639,,,1120.0,sqft,4800.0,sqft,98168.0,525000.0
29512,2.0,1.0,807.0,sqft,,,98103.0,525000.0
29733,2.0,1.0,2060.0,sqft,6000.0,sqft,98106.0,525000.0
29532,,,1120.0,sqft,4800.0,sqft,98168.0,525000.0
29759,2.0,2.5,,sqft,1293.0,sqft,98126.0,525000.0
29849,,1.0,806.0,sqft,,,98102.0,525000.0
30331,3.0,,1320.0,sqft,6250.0,sqft,,529000.0
30024,1.0,,,sqft,,,98121.0,529000.0
30088,3.0,,1320.0,sqft,6250.0,sqft,,529000.0
30410,1.0,,,sqft,,,98121.0,529000.0
30143,3.0,,1320.0,sqft,6250.0,sqft,,529000.0
30131,3.0,,1320.0,sqft,6250.0,sqft,,529000.0
30104,1.0,,,sqft,,,98121.0,529000.0
30248,3.0,,1320.0,sqft,6250.0,sqft,,529000.0
29980,3.0,,1320.0,sqft,6250.0,sqft,,529000.0
30287,3.0,,1320.0,sqft,6250.0,sqft,,529000.0
30806,,1.0,724.0,sqft,,,98102.0,530000.0
30440,,1.0,724.0,sqft,,,98102.0,530000.0
30686,1.0,,783.0,sqft,,,98101.0,530000.0
30436,,1.0,820.0,sqft,5100.0,sqft,98118.0,530000.0
30839,2.0,1.0,770.0,sqft,5250.0,sqft,98133.0,530000.0
30614,2.0,,,sqft,3060.0,sqft,98115.0,530000.0
30836,,1.0,820.0,sqft,5100.0,sqft,98118.0,530000.0
30588,,2.0,1170.0,sqft,9594.0,sqft,98168.0,530000.0
30576,2.0,,,sqft,3060.0,sqft,98115.0,530000.0
30742,2.0,1.5,1060.0,sqft,5137.0,sqft,98118.0,530000.0
31096,3.0,,1060.0,sqft,6765.0,sqft,98178.0,535000.0
30949,3.0,1.5,,sqft,8505.0,sqft,98178.0,535000.0
31313,2.0,1.0,1660.0,sqft,0.28,acre,98125.0,535000.0
31010,2.0,1.0,925.0,sqft,,,98103.0,535000.0
31299,3.0,,1060.0,sqft,6765.0,sqft,98178.0,535000.0
30913,3.0,,1060.0,sqft,6765.0,sqft,98178.0,535000.0
30911,4.0,2.0,1830.0,sqft,9920.0,sqft,98146.0,535000.0
30943,3.0,1.5,,sqft,8505.0,sqft,98178.0,535000.0
31219,3.0,1.5,,sqft,8505.0,sqft,98178.0,535000.0
31141,2.0,1.0,925.0,sqft,,,98103.0,535000.0
31423,1.0,,,sqft,,,98121.0,545000.0
31701,,,,sqft,6693.0,sqft,98117.0,545000.0
31779,,,,sqft,6693.0,sqft,98117.0,545000.0
31412,,,,sqft,6693.0,sqft,98117.0,545000.0
31447,,,,sqft,6693.0,sqft,98117.0,545000.0
31635,1.0,,,sqft,,,98121.0,545000.0
31471,1.0,,,sqft,,,98121.0,545000.0
31359,1.0,,,sqft,,,98121.0,545000.0
31616,1.0,,,sqft,,,98121.0,545000.0
31698,2.0,1.0,730.0,sqft,5150.0,sqft,98106.0,545000.0
32043,3.0,1.0,1800.0,sqft,0.27,acre,98168.0,549000.0
32255,2.0,1.5,1076.0,sqft,1060.0,sqft,98125.0,549000.0
32171,2.0,1.5,1076.0,sqft,1060.0,sqft,98125.0,549000.0
32206,2.0,1.5,1076.0,sqft,1060.0,sqft,98125.0,549000.0
31842,3.0,1.0,1800.0,sqft,0.27,acre,98168.0,549000.0
32196,3.0,1.0,1800.0,sqft,0.27,acre,98168.0,549000.0
32235,2.0,1.5,1076.0,sqft,1060.0,sqft,98125.0,549000.0
31957,3.0,1.0,1800.0,sqft,0.27,acre,98168.0,549000.0
32099,2.0,1.5,1076.0,sqft,1060.0,sqft,98125.0,549000.0
32150,3.0,1.0,1800.0,sqft,0.27,acre,98168.0,549000.0
32695,2.0,1.5,900.0,sqft,1.0,acre,98133.0,549755.0
32389,2.0,1.5,900.0,sqft,1.0,acre,98133.0,549755.0
32280,2.0,,900.0,sqft,,,98133.0,549755.0
32606,2.0,1.5,900.0,sqft,1.0,acre,98133.0,549755.0
32377,2.0,1.5,900.0,sqft,1.0,acre,98133.0,549755.0
32638,2.0,,900.0,sqft,,,98133.0,549755.0
32595,2.0,1.5,900.0,sqft,1.0,acre,98133.0,549755.0
32627,2.0,1.5,900.0,sqft,1.0,acre,98133.0,549755.0
32364,2.0,1.5,900.0,sqft,1.0,acre,98133.0,549755.0
32345,2.0,,900.0,sqft,,,98133.0,549755.0
33039,,2.0,,sqft,6000.0,sqft,98103.0,550000.0
32866,,1.0,1760.0,sqft,4264.0,sqft,98126.0,550000.0
32972,,,756.0,sqft,,,98121.0,550000.0
32830,2.0,1.0,940.0,sqft,3300.0,sqft,98118.0,550000.0
33006,,1.0,1760.0,sqft,4264.0,sqft,98126.0,550000.0
33138,,,756.0,sqft,,,98121.0,550000.0
33159,1.0,,,sqft,,,98121.0,550000.0
32873,,2.0,,sqft,6000.0,sqft,98103.0,550000.0
33000,,2.0,,sqft,6000.0,sqft,98103.0,550000.0
32831,,1.0,1760.0,sqft,4264.0,sqft,98126.0,550000.0
33249,1.0,1.0,,sqft,,,98101.0,555000.0
33551,,2.5,2230.0,sqft,7944.0,sqft,98178.0,555000.0
33293,1.0,1.0,,sqft,,,98101.0,555000.0
33508,,2.5,2230.0,sqft,7944.0,sqft,98178.0,555000.0
33540,2.0,,870.0,sqft,6554.0,sqft,,555000.0
33549,2.0,,870.0,sqft,6554.0,sqft,,555000.0
33203,,2.5,2230.0,sqft,7944.0,sqft,98178.0,555000.0
33461,2.0,2.0,,sqft,649.0,sqft,98107.0,555000.0
33403,2.0,2.0,,sqft,649.0,sqft,98107.0,555000.0
33205,1.0,1.0,,sqft,,,98101.0,555000.0
34086,3.0,,,sqft,7920.0,sqft,98178.0,560000.0
34050,2.0,,770.0,sqft,4672.0,sqft,98106.0,560000.0
34103,1.0,,808.0,sqft,,,98164.0,560000.0
408,3.0,2.0,1590.0,sqft,3000.0,sqft,98146.0,560000.0
33769,3.0,2.0,1590.0,sqft,3000.0,sqft,98146.0,560000.0
33879,2.0,,770.0,sqft,4672.0,sqft,98106.0,560000.0
33969,2.0,,770.0,sqft,4672.0,sqft,98106.0,560000.0
34106,,1.0,690.0,sqft,4000.0,sqft,98117.0,560000.0
33721,,1.0,690.0,sqft,4000.0,sqft,98117.0,560000.0
33955,,1.0,690.0,sqft,4000.0,sqft,98117.0,560000.0
34558,2.0,1.0,680.0,sqft,8382.0,sqft,98146.0,565000.0
34450,2.0,1.0,680.0,sqft,8382.0,sqft,98146.0,565000.0
34480,2.0,1.0,680.0,sqft,8382.0,sqft,98146.0,565000.0
34260,,,860.0,sqft,4800.0,sqft,98108.0,565000.0
34300,3.0,2.5,1520.0,sqft,741.0,sqft,98108.0,565000.0
34537,2.0,1.0,680.0,sqft,8382.0,sqft,98146.0,565000.0
34275,3.0,2.5,1520.0,sqft,741.0,sqft,98108.0,565000.0
34290,,,860.0,sqft,4800.0,sqft,98108.0,565000.0
34486,,,860.0,sqft,4800.0,sqft,98108.0,565000.0
34307,2.0,1.0,680.0,sqft,8382.0,sqft,98146.0,565000.0
34863,2.0,,,sqft,6018.0,sqft,98116.0,575000.0
34772,,1.0,1150.0,sqft,7425.0,sqft,,575000.0
35008,2.0,1.0,1720.0,sqft,5017.0,sqft,98118.0,575000.0
34894,,1.0,1150.0,sqft,7425.0,sqft,,575000.0
35010,2.0,,1030.0,sqft,,,98122.0,575000.0
34629,2.0,1.0,1720.0,sqft,5017.0,sqft,98118.0,575000.0
35040,2.0,1.5,1180.0,sqft,0.25,acre,98168.0,575000.0
34677,3.0,1.0,1070.0,sqft,3840.0,sqft,98117.0,575000.0
35034,2.0,,1030.0,sqft,,,98122.0,575000.0
34706,2.0,1.5,1180.0,sqft,0.25,acre,98168.0,575000.0
35244,3.0,1.0,1070.0,sqft,6567.0,sqft,98178.0,580000.0
35424,2.0,1.0,850.0,sqft,6000.0,sqft,98118.0,580000.0
35331,3.0,1.0,1070.0,sqft,6567.0,sqft,98178.0,580000.0
35350,2.0,1.5,994.0,sqft,1494.0,sqft,98106.0,580000.0
35387,2.0,1.0,1090.0,sqft,4500.0,sqft,98118.0,580000.0
35434,2.0,,1960.0,sqft,7405.0,sqft,98168.0,580000.0
35321,3.0,1.0,1070.0,sqft,6567.0,sqft,98178.0,580000.0
35493,3.0,1.0,1070.0,sqft,6567.0,sqft,98178.0,580000.0
35476,3.0,1.0,1070.0,sqft,6567.0,sqft,98178.0,580000.0
35333,2.0,1.0,850.0,sqft,6000.0,sqft,98118.0,580000.0
35775,3.0,,1300.0,sqft,1994.0,sqft,98106.0,583000.0
35868,3.0,,,sqft,5005.0,sqft,98106.0,583000.0
35718,3.0,,1300.0,sqft,1994.0,sqft,98106.0,583000.0
35675,3.0,,,sqft,5005.0,sqft,98106.0,583000.0
35746,3.0,,,sqft,5005.0,sqft,98106.0,583000.0
35608,3.0,,,sqft,5005.0,sqft,98106.0,583000.0
35804,3.0,,,sqft,5005.0,sqft,98106.0,583000.0
35523,3.0,,,sqft,5005.0,sqft,98106.0,583000.0
35691,3.0,,,sqft,5005.0,sqft,98106.0,583000.0
35621,3.0,,1300.0,sqft,1994.0,sqft,98106.0,583000.0
36260,2.0,,1088.0,sqft,1518.0,sqft,98106.0,590000.0
36220,3.0,2.5,1380.0,sqft,2250.0,sqft,98106.0,590000.0
36048,1.0,1.0,707.0,sqft,0.26,acre,98122.0,590000.0
36411,2.0,,1088.0,sqft,1518.0,sqft,98106.0,590000.0
36412,,1.0,1410.0,sqft,5000.0,sqft,98118.0,590000.0
36014,2.0,,1088.0,sqft,1518.0,sqft,98106.0,590000.0
36383,,,1140.0,sqft,2550.0,sqft,98117.0,590000.0
36378,2.0,,900.0,sqft,8000.0,sqft,98122.0,590000.0
36209,2.0,,900.0,sqft,8000.0,sqft,98122.0,590000.0
36017,,,1140.0,sqft,2550.0,sqft,98117.0,590000.0
36536,2.0,1.0,,sqft,,,98102.0,595000.0
36733,1.0,1.0,1113.0,sqft,9830.0,sqft,98102.0,595000.0
36627,1.0,1.0,1113.0,sqft,9830.0,sqft,98102.0,595000.0
36714,2.0,1.0,,sqft,,,98102.0,595000.0
36541,1.0,1.0,1113.0,sqft,9830.0,sqft,98102.0,595000.0
36612,1.0,1.0,1113.0,sqft,9830.0,sqft,98102.0,595000.0
36891,2.0,1.0,,sqft,,,98102.0,595000.0
36832,1.0,1.0,1113.0,sqft,9830.0,sqft,98102.0,595000.0
36584,1.0,1.0,1113.0,sqft,9830.0,sqft,98102.0,595000.0
36639,1.0,1.0,1113.0,sqft,9830.0,sqft,98102.0,595000.0
37363,3.0,,1350.0,sqft,2497.0,sqft,98118.0,599000.0
37365,3.0,1.5,1220.0,sqft,6350.0,sqft,98103.0,599000.0
36939,3.0,,1060.0,sqft,5290.0,sqft,98106.0,599000.0
37199,2.0,1.5,901.0,sqft,4800.0,sqft,98107.0,599000.0
37060,2.0,1.5,901.0,sqft,4800.0,sqft,98107.0,599000.0
37336,2.0,1.5,901.0,sqft,4800.0,sqft,98107.0,599000.0
37339,3.0,,1060.0,sqft,5290.0,sqft,98106.0,599000.0
37377,3.0,,1350.0,sqft,2497.0,sqft,98118.0,599000.0
37283,3.0,,1350.0,sqft,2497.0,sqft,98118.0,599000.0
36990,3.0,1.5,1220.0,sqft,6350.0,sqft,98103.0,599000.0
37698,,2.5,1460.0,sqft,1536.0,sqft,98106.0,599950.0
37423,,2.5,1460.0,sqft,1536.0,sqft,98106.0,599950.0
37590,,2.0,2100.0,sqft,6000.0,sqft,98108.0,599950.0
37586,,2.0,1095.0,sqft,617.0,sqft,98177.0,599950.0
37796,,2.0,1095.0,sqft,617.0,sqft,98177.0,599950.0
37436,,2.5,1460.0,sqft,1536.0,sqft,98106.0,599950.0
37699,,2.0,1095.0,sqft,617.0,sqft,98177.0,599950.0
37464,,2.0,2100.0,sqft,6000.0,sqft,98108.0,599950.0
37533,,2.0,1095.0,sqft,617.0,sqft,98177.0,599950.0
37635,,2.5,1460.0,sqft,1536.0,sqft,98106.0,599950.0
38019,,1.0,720.0,sqft,7500.0,sqft,98177.0,600000.0
37983,3.0,,1670.0,sqft,,,98178.0,600000.0
38088,3.0,2.0,1470.0,sqft,2226.0,sqft,98106.0,600000.0
38098,3.0,2.5,1670.0,sqft,,,98178.0,600000.0
37974,2.0,,1212.0,sqft,,,98136.0,600000.0
37906,,1.0,720.0,sqft,7500.0,sqft,98177.0,600000.0
51,,1.0,720.0,sqft,7500.0,sqft,98177.0,600000.0
38188,3.0,,1670.0,sqft,,,98178.0,600000.0
38290,3.0,2.5,1670.0,sqft,,,98178.0,600000.0
38131,3.0,,1670.0,sqft,,,98178.0,600000.0
38429,2.0,2.0,1071.0,sqft,1.54,acre,98119.0,605000.0
38688,2.0,2.0,1071.0,sqft,1.54,acre,98119.0,605000.0
38392,,1.0,836.0,sqft,,,98121.0,605000.0
38717,,3.0,2040.0,sqft,6180.0,sqft,98118.0,605000.0
38436,2.0,1.5,1120.0,sqft,966.0,sqft,98103.0,605000.0
38671,2.0,2.0,1071.0,sqft,,,98119.0,605000.0
38647,2.0,2.0,1071.0,sqft,,,98119.0,605000.0
38365,2.0,2.0,1020.0,sqft,776.0,sqft,98118.0,605000.0
38715,2.0,2.0,1071.0,sqft,1.54,acre,98119.0,605000.0
38747,2.0,,1201.0,sqft,5000.0,sqft,,605000.0
39014,2.0,2.0,1042.0,sqft,,,98102.0,610000.0
38906,3.0,1.5,998.0,sqft,904.0,sqft,,610000.0
38898,2.0,2.0,1042.0,sqft,,,98102.0,610000.0
39223,3.0,1.5,998.0,sqft,904.0,sqft,,610000.0
38876,3.0,1.5,998.0,sqft,904.0,sqft,,610000.0
39020,2.0,2.0,1042.0,sqft,,,98102.0,610000.0
38936,3.0,2.5,1681.0,sqft,3.97,acre,98126.0,610000.0
39094,2.0,2.0,1042.0,sqft,,,98102.0,610000.0
39139,3.0,1.5,998.0,sqft,904.0,sqft,,610000.0
38770,3.0,2.5,1681.0,sqft,3.97,acre,98126.0,610000.0
39654,3.0,2.5,1380.0,sqft,1550.0,sqft,98115.0,613000.0
39260,3.0,2.5,1380.0,sqft,1550.0,sqft,98115.0,613000.0
39497,3.0,2.5,1380.0,sqft,1550.0,sqft,98115.0,613000.0
39583,5.0,2.0,2340.0,sqft,5120.0,sqft,98106.0,613000.0
39339,5.0,2.0,2340.0,sqft,5120.0,sqft,98106.0,613000.0
39630,5.0,2.0,2340.0,sqft,5120.0,sqft,98106.0,613000.0
39666,3.0,2.5,1380.0,sqft,1550.0,sqft,98115.0,613000.0
39398,5.0,2.0,2340.0,sqft,5120.0,sqft,98106.0,613000.0
39533,3.0,2.5,1380.0,sqft,1550.0,sqft,98115.0,613000.0
39291,3.0,2.5,1380.0,sqft,1550.0,sqft,98115.0,613000.0
39872,3.0,2.5,1010.0,sqft,570.0,sqft,98118.0,615000.0
39843,2.0,2.0,,sqft,,,98121.0,615000.0
40015,3.0,2.5,1010.0,sqft,570.0,sqft,98118.0,615000.0
39817,,1.5,1340.0,sqft,5120.0,sqft,98106.0,615000.0
40115,3.0,1.0,1120.0,sqft,6096.0,sqft,,615000.0
39948,,1.5,1340.0,sqft,5120.0,sqft,98106.0,615000.0
39850,2.0,2.0,,sqft,,,98121.0,615000.0
40078,3.0,2.5,1010.0,sqft,570.0,sqft,98118.0,615000.0
40048,2.0,,1169.0,sqft,1092.0,sqft,98117.0,615000.0
39973,3.0,2.0,1260.0,sqft,2640.0,sqft,98133.0,615000.0
40299,3.0,3.5,1370.0,sqft,1125.0,sqft,98133.0,619000.0
40357,,1.0,1620.0,sqft,0.39,acre,98178.0,619000.0
40461,3.0,3.5,1370.0,sqft,1125.0,sqft,98133.0,619000.0
40172,,1.0,1620.0,sqft,0.39,acre,98178.0,619000.0
40183,3.0,3.5,1370.0,sqft,1125.0,sqft,98133.0,619000.0
40549,3.0,3.5,1370.0,sqft,1125.0,sqft,98133.0,619000.0
40581,3.0,3.5,1370.0,sqft,1125.0,sqft,98133.0,619000.0
40529,3.0,3.5,1370.0,sqft,1125.0,sqft,98133.0,619000.0
40624,,1.0,1620.0,sqft,0.39,acre,98178.0,619000.0
40569,3.0,3.5,1370.0,sqft,1125.0,sqft,98133.0,619000.0
40863,2.0,1.0,930.0,sqft,6000.0,sqft,98133.0,620000.0
40785,,2.0,1670.0,sqft,8573.0,sqft,,620000.0
260,2.0,1.0,930.0,sqft,6000.0,sqft,98133.0,620000.0
41050,2.0,2.5,840.0,sqft,1224.0,sqft,98144.0,620000.0
40716,2.0,2.0,1081.0,sqft,,,98144.0,620000.0
41054,2.0,1.0,930.0,sqft,6000.0,sqft,98133.0,620000.0
41025,2.0,1.0,770.0,sqft,6501.0,sqft,98125.0,620000.0
40720,2.0,1.0,930.0,sqft,6000.0,sqft,98133.0,620000.0
40795,2.0,2.5,840.0,sqft,1224.0,sqft,98144.0,620000.0
41082,2.0,,1200.0,sqft,1948.0,sqft,98125.0,620000.0
41474,2.0,2.0,1170.0,sqft,588.0,sqft,98144.0,624999.0
41181,2.0,2.0,1170.0,sqft,588.0,sqft,98144.0,624999.0
41367,2.0,2.0,1170.0,sqft,588.0,sqft,98144.0,624999.0
41338,,2.0,1170.0,sqft,588.0,sqft,98144.0,624999.0
41300,2.0,2.0,1170.0,sqft,588.0,sqft,98144.0,624999.0
41433,,2.0,1170.0,sqft,588.0,sqft,98144.0,624999.0
41494,2.0,2.0,1170.0,sqft,588.0,sqft,98144.0,624999.0
41165,,2.0,1170.0,sqft,588.0,sqft,98144.0,624999.0
41406,2.0,2.0,1170.0,sqft,588.0,sqft,98144.0,624999.0
41426,2.0,2.0,1170.0,sqft,588.0,sqft,98144.0,624999.0
41674,4.0,2.0,2280.0,sqft,0.25,acre,98168.0,625000.0
41700,,1.5,,sqft,,,98103.0,625000.0
41620,,2.0,1170.0,sqft,588.0,sqft,98144.0,625000.0
41730,4.0,2.0,2280.0,sqft,0.25,acre,98168.0,625000.0
1006,3.0,2.0,1250.0,sqft,6000.0,sqft,98106.0,625000.0
41745,3.0,2.0,1250.0,sqft,6000.0,sqft,98106.0,625000.0
41735,4.0,2.0,2280.0,sqft,0.25,acre,98168.0,625000.0
41664,,1.0,680.0,sqft,8795.0,sqft,98125.0,625000.0
